timestamps,actual_open,actual_high,actual_low,actual_close,pred_open,pred_high,pred_low,pred_close,close_error,absolute_error,percentage_error,open_error,high_error,low_error,horizon,rolling_mae,normalized_error
2021-12-02,1139.76611328125,1151.995849609375,1136.0279541015625,1145.8348388671875,540.92194,556.9502,553.2588,571.28876,-574.5460815429688,574.5460815429688,50.14213759733342,-598.8441772460938,-595.045654296875,-582.7691650390625,227,658.4865676879883,0.5014213759733341
2021-12-03,1153.01123046875,1153.057373046875,1107.599609375,1111.406982421875,597.8373,567.0038,611.6749,575.08453,-536.3224487304688,536.3224487304688,48.25617053095749,-555.1739501953125,-586.0535888671875,-495.9246826171875,228,648.4413604736328,0.48256170530957493
2021-12-06,1114.983642578125,1119.1370849609375,1087.8243408203125,1090.3394775390625,578.1289,580.0044,584.9441,588.7251,-501.6143798828125,501.6143798828125,46.00533964109739,-536.854736328125,-539.1326904296875,-502.8802490234375,229,638.1419570922851,0.4600533964109739
2021-12-07,1096.5928955078125,1109.445556640625,1089.1396484375,1099.223388671875,588.8573,585.9999,588.5971,591.8046,-507.41876220703125,507.41876220703125,46.16156892550427,-507.735595703125,-523.4456787109375,-500.54254150390625,230,628.7013000488281,0.4616156892550427
2021-12-08,1118.7218017578125,1122.2752685546875,1110.507080078125,1115.9527587890625,589.58704,622.87146,593.5928,624.5916,-491.36114501953125,491.36114501953125,44.0306402891745,-529.134765625,-499.40380859375,-516.914306640625,231,617.5405700683593,0.440306402891745
2021-12-09,1123.7520751953125,1142.1658935546875,1119.1370849609375,1133.6512451171875,616.2577,619.60626,537.81195,632.79535,-500.85589599609375,500.85589599609375,44.180774127259866,-507.494384765625,-522.5596313476562,-581.3251342773438,232,605.4595153808593,0.4418077412725987
2021-12-10,1126.1749267578125,1138.05859375,1121.6060791015625,1134.8050537109375,653.7953,631.5518,654.3831,640.7712,-494.03387451171875,494.03387451171875,43.53469108162442,-472.379638671875,-506.50677490234375,-467.22296142578125,233,595.0774566650391,0.4353469108162442
2021-12-13,1141.5198974609375,1141.7967529296875,1109.445556640625,1112.0531005859375,639.48364,716.8785,627.502,670.6189,-441.4342041015625,441.4342041015625,39.695424963877365,-502.0362548828125,-424.91827392578125,-481.94354248046875,234,580.079867553711,0.3969542496387736
2021-12-14,1098.36962890625,1110.36865234375,1095.32373046875,1098.4388427734375,660.4329,782.4858,723.7771,720.0039,-378.4349365234375,378.4349365234375,34.452071593529126,-437.93670654296875,-327.88287353515625,-371.546630859375,235,563.1910858154297,0.34452071593529127
2021-12-15,1100.215576171875,1109.9071044921875,1089.647216796875,1095.2314453125,724.3682,727.2913,696.54584,707.4606,-387.7708740234375,387.7708740234375,35.4053817284981,-375.84735107421875,-382.61578369140625,-393.10137939453125,236,547.4763320922851,0.354053817284981
