timestamp,pred_open,pred_high,pred_low,pred_close,pred_volume,amount,actual_open,actual_high,actual_low,actual_close,close_error,absolute_error,squared_error
2023-06-30,15744.985,16392.156,15760.704,16234.935,393900.06,6.59677e+09,19076.849609375,19201.69921875,19024.599609375,19189.05078125,-2954.1162109375,2954.1162109375,8726802.587723732
2023-07-03,16168.717,16270.606,15980.822,16195.849,427045.9,7.053311e+09,19246.5,19345.099609375,19234.400390625,19322.55078125,-3126.7021484375,3126.7021484375,9776266.325043678
2023-07-04,16129.871,16312.517,16024.749,16180.08,451026.06,7.551652e+09,19406.599609375,19434.150390625,19300.0,19389.0,-3208.919921875,3208.919921875,10297167.065006256
2023-07-05,16095.387,16257.197,16013.949,16202.004,396816.44,6.7307075e+09,19405.94921875,19421.599609375,19339.599609375,19398.5,-3196.49609375,3196.49609375,10217587.277359009
2023-07-06,16017.57,16624.688,15755.301,16286.105,493803.97,8.3326336e+09,19385.69921875,19512.19921875,19373.0,19497.30078125,-3211.1953125,3211.1953125,10311775.335021973
2023-07-07,16520.832,16819.871,16381.586,16729.889,363821.8,6.013238e+09,19422.80078125,19523.599609375,19303.599609375,19331.80078125,-2601.912109375,2601.912109375,6769946.624912262
2023-07-10,16605.807,16711.049,16631.396,16813.127,371908.8,6.31814e+09,19400.349609375,19435.849609375,19327.099609375,19355.900390625,-2542.7734375,2542.7734375,6465696.754455566
2023-07-11,16823.184,16849.002,16771.156,16795.037,309048.78,5.331864e+09,19427.099609375,19515.099609375,19406.44921875,19439.400390625,-2644.36328125,2644.36328125,6992657.163223267
2023-07-12,16849.918,16842.197,16673.65,16916.672,261557.5,4.524954e+09,19497.44921875,19507.69921875,19361.75,19384.30078125,-2467.62890625,2467.62890625,6089192.418960571
2023-07-13,16979.076,16888.678,16766.943,16696.387,305406.84,5.231103e+09,19495.19921875,19567.0,19385.80078125,19413.75,-2717.36328125,2717.36328125,7384063.202285767
2023-07-14,16853.543,16813.756,16879.434,16833.309,251735.5,4.3823555e+09,19493.44921875,19595.349609375,19433.5,19564.5,-2731.19140625,2731.19140625,7459406.497573853
2023-07-17,16878.13,16861.258,16978.484,16928.38,187872.03,3.3164662e+09,19612.150390625,19731.849609375,19562.94921875,19711.44921875,-2783.068359375,2783.068359375,7745469.492954254
2023-07-18,16866.732,16929.637,16782.678,16890.957,294435.38,4.946772e+09,19787.5,19819.44921875,19690.19921875,19749.25,-2858.29296875,2858.29296875,8169838.6952056885
2023-07-19,17090.625,17304.746,17130.613,17396.656,247919.34,4.298575e+09,19802.94921875,19851.69921875,19727.44921875,19833.150390625,-2436.494140625,2436.494140625,5936503.697299957
2023-07-20,17306.658,17244.322,17361.22,17346.982,277667.56,4.807563e+09,19831.69921875,19991.849609375,19758.400390625,19979.150390625,-2632.16796875,2632.16796875,6928308.215713501
2023-07-21,17284.484,17324.55,17299.357,17375.139,276114.0,4.786502e+09,19800.44921875,19887.400390625,19700.0,19745.0,-2369.861328125,2369.861328125,5616242.714542389
2023-07-24,17184.566,17445.574,17114.092,17195.447,330759.62,5.6140063e+09,19748.44921875,19782.75,19658.30078125,19672.349609375,-2476.90234375,2476.90234375,6135045.220474243
2023-07-25,17093.305,17423.725,17280.213,17453.107,255702.06,4.4493737e+09,19729.349609375,19729.349609375,19615.94921875,19680.599609375,-2227.4921875,2227.4921875,4961721.445373535
2023-07-26,17331.03,17491.77,17353.873,17532.697,278218.97,4.7988096e+09,19733.349609375,19825.599609375,19716.69921875,19778.30078125,-2245.603515625,2245.603515625,5042735.14938736
2023-07-27,17400.203,17464.973,17455.557,17578.5,325102.0,5.4737853e+09,19850.900390625,19867.55078125,19603.55078125,19659.900390625,-2081.400390625,2081.400390625,4332227.586093903
2023-07-28,17535.566,17543.36,17476.58,17524.02,263524.28,4.5453507e+09,19659.75,19695.900390625,19563.099609375,19646.05078125,-2122.03125,2122.03125,4503016.6259765625
2023-07-31,17290.207,17502.707,17046.463,17493.691,243125.38,4.2483054e+09,19666.349609375,19772.75,19597.599609375,19753.80078125,-2260.109375,2260.109375,5108094.386962891
2023-08-01,17517.21,17708.363,17505.285,17741.092,265400.25,4.579864e+09,19784.0,19795.599609375,19704.599609375,19733.55078125,-1992.458984375,1992.458984375,3969892.8044166565
2023-08-02,17615.215,17601.238,17451.412,17510.863,268592.6,4.6628434e+09,19655.400390625,19678.25,19423.55078125,19526.55078125,-2015.6875,2015.6875,4062996.09765625
2023-08-03,17453.818,17645.568,17379.184,17573.537,240692.56,4.2225807e+09,19463.75,19537.650390625,19296.44921875,19381.650390625,-1808.11328125,1808.11328125,3269273.6378326416
2023-08-04,17547.768,17673.79,17304.451,17626.773,240542.25,4.266934e+09,19462.80078125,19538.849609375,19436.44921875,19517.0,-1890.2265625,1890.2265625,3572956.4575805664
